I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,-6.788566,215.746292,216.950333,0.000000,0.000000,0.000000,1336.000000,259.000000,786.000000,8.000000,22.000000,67.000000,64.000000,2798.000000,1845.000000
0.000000,-6.165953,215.746292,216.887436,0.000000,0.000000,0.000000,1345.000000,259.000000,786.000000,8.000000,22.000000,67.000000,64.000000,2834.000000,1869.000000
0.000000,-5.718586,215.746292,216.876358,0.000000,0.000000,0.000000,1351.000000,259.000000,786.000000,8.000000,22.000000,67.000000,65.000000,2858.000000,1885.000000
0.000000,-4.969991,215.746292,216.899582,0.000000,0.000000,0.000000,1354.000000,259.000000,786.000000,8.000000,22.000000,67.000000,65.000000,2893.000000,1908.000000
0.000000,-4.402306,215.746292,216.908844,0.000000,0.000000,0.000000,1358.000000,259.000000,786.000000,8.000000,22.000000,67.000000,67.000000,2917.000000,1923.000000
0.000000,-3.464545,215.746292,216.919266,0.000000,0.000000,0.000000,1364.000000,259.000000,786.000000,8.000000,22.000000,67.000000,67.000000,2952.000000,1947.000000
0.000000,-2.771459,215.746292,216.915939,0.000000,0.000000,0.000000,1364.000000,259.000000,786.000000,8.000000,22.000000,67.000000,67.000000,2976.000000,1963.000000
0.000000,-1.661242,215.746292,216.914459,0.000000,0.000000,0.000000,1368.000000,259.000000,786.000000,8.000000,22.000000,67.000000,67.000000,3012.000000,1987.000000
0.000000,-0.926396,215.746292,216.914200,0.000000,0.000000,0.000000,1504.000000,388.000000,786.000000,14.000000,22.000000,135.000000,67.000000,3029.000000,2003.000000
0.000000,0.095476,215.746292,216.914093,0.000000,0.000000,0.000000,1520.000000,388.000000,786.000000,14.000000,22.000000,65.000000,67.000000,3062.000000,2026.000000
0.000000,0.675717,215.746292,216.914078,0.000000,0.000000,0.000000,1655.000000,388.000000,918.000000,14.000000,26.000000,65.000000,199.000000,3086.000000,2037.000000
0.000000,1.373517,215.746292,216.914078,0.000000,0.000000,0.000000,1662.000000,388.000000,918.000000,14.000000,26.000000,67.000000,64.000000,3121.000000,2061.000000
0.000000,1.737860,215.746292,216.914078,0.000000,0.000000,0.000000,1662.000000,388.000000,918.000000,14.000000,26.000000,67.000000,64.000000,3145.000000,2076.000000
0.000000,2.116457,215.746292,216.862045,0.000000,0.000000,0.000000,1669.000000,388.000000,918.000000,14.000000,26.000000,67.000000,64.000000,3181.000000,2100.000000
0.000000,2.261452,215.746292,216.810974,0.000000,0.000000,0.000000,1676.000000,388.000000,918.000000,14.000000,26.000000,75.000000,64.000000,3204.000000,2116.000000
0.000000,2.340040,215.746292,216.708282,0.000000,0.000000,0.000000,1683.000000,388.000000,918.000000,14.000000,26.000000,75.000000,65.000000,3239.000000,2139.000000
0.000000,2.300053,215.746292,216.579834,0.000000,0.000000,0.000000,1821.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3256.000000,2155.000000
0.000000,2.068151,215.746292,216.434784,0.000000,0.000000,0.000000,1826.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3292.000000,2179.000000
0.000000,1.784568,215.746292,216.449738,0.000000,0.000000,0.000000,1826.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3316.000000,2195.000000
0.000000,1.179789,215.746292,216.378555,0.000000,0.000000,0.000000,1829.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3352.000000,2219.000000
0.000000,0.715910,215.746292,216.338089,0.000000,0.000000,0.000000,1832.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3375.000000,2234.000000
0.000000,-0.078428,215.746292,216.279205,0.000000,0.000000,0.000000,1837.000000,518.000000,918.000000,17.000000,26.000000,64.000000,67.000000,3410.000000,2257.000000
0.000000,-0.619973,215.746292,216.235535,0.000000,0.000000,0.000000,1970.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,199.000000,3434.000000,2269.000000
0.000000,-1.354966,215.746292,216.250702,0.000000,0.000000,0.000000,1973.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,64.000000,3470.000000,2293.000000
0.000000,-1.758811,215.746292,216.281525,0.000000,0.000000,0.000000,1973.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,64.000000,3493.000000,2309.000000
0.000000,-2.225033,215.746292,216.323227,0.000000,0.000000,0.000000,1976.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,64.000000,3529.000000,2332.000000
